"go_description","NES","pval","padj"
"proton transmembrane transport",1.78668278404874,4.25292911844342e-05,0.000411504118218139
"energy reserve metabolic process",1.93449932941922,4.40351994694491e-05,0.000424417078154963
"multicellular organismal movement",2.02742824912948,4.91373519575492e-05,0.000471756669762982
"snRNA processing",-2.08760090597636,5.15459144780518e-05,0.000491073962162055
"ribosome assembly",-1.97437089605599,5.13551610494701e-05,0.000491073962162055
"nucleotide-excision repair",-1.93004423958614,5.31413832595153e-05,0.000504334123884366
"membrane repolarization",2.07548415520254,5.44623437403155e-05,0.000514897807041075
"regulation of cellular response to growth factor stimulus",1.62499282394161,5.72355327240868e-05,0.00053905861048503
"rRNA transcription",-2.02831090118792,6.05464367588369e-05,0.000568081529741057
"response to activity",1.95060560831257,6.4240489935347e-05,0.00060046676818813
"monocarboxylic acid catabolic process",1.81374464467676,6.50836649934236e-05,0.000606061045822219
"regulation of spindle organization",-1.99166320043856,6.71778763552551e-05,0.000623219474651562
"macroautophagy",1.61658221532971,6.83905955507898e-05,0.000632102631266069
"regulation of autophagy",1.5910464108206,7.17817893729975e-05,0.000660979525192992
"fatty acid catabolic process",1.88843210990613,7.35525346156673e-05,0.000674776400900029
"actin filament organization",1.5640468394423,7.40391907836637e-05,0.00067673459620345
"cardiac ventricle morphogenesis",1.89940046443246,7.77209050987495e-05,0.000707774565917656
"regulation of heart rate by cardiac conduction",1.99739672484999,7.87455096658742e-05,0.000714478488799892
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",-2.11325810294161,8.14900616178801e-05,0.000736682053384997
"glucan metabolic process",1.91566704766319,8.22136705947057e-05,0.000740520952956676
"cell-substrate adhesion",1.60220306970925,8.48277696061481e-05,0.000761298497516046
"cellular response to calcium ion",1.87684814908692,8.67152332144057e-05,0.000775428276794523
"cardiac muscle cell membrane repolarization",2.05720569385446,8.82259515630887e-05,0.00078609957561788
"protein localization to cell periphery",1.61714462466243,9.25518295576479e-05,0.000821687748438329
"cytosolic transport",1.73864976886133,9.73382423087019e-05,0.000861095807852338
"cell surface receptor protein serine/threonine kinase signaling pathway",1.54832534514872,0.000100812573172286,0.000888657451059622
"detection of abiotic stimulus",1.7884333805887,0.000112893674862199,0.000991622810757683
"regulation of mRNA catabolic process",-1.70165175235381,0.000128028992654916,0.00112059298518101
"positive regulation of macroautophagy",1.85273727726599,0.000137527356273342,0.00119949035735587
"oxidative phosphorylation",1.78548619989031,0.000139049119139399,0.00120850760739751
"vesicle-mediated transport to the plasma membrane",1.7039728175074,0.000139604057118179,0.00120908828490115
"tricarboxylic acid cycle",2.06323848822397,0.000143634254864521,0.00123965870836034
"fatty acid metabolic process",1.60902360052113,0.000146824903506294,0.00126279613189268
"vacuolar transport",1.71869450421483,0.000149712237401506,0.00128317374409526
"nucleobase metabolic process",-2.06397177271956,0.000152107228437859,0.00129920553393302
"learning or memory",1.60055707972011,0.000162020908416933,0.00137912642662799
"maturation of LSU-rRNA",-2.08292584629018,0.000165845485884012,0.00140684681005033
"actin filament depolymerization",1.85691392594745,0.000167833128965195,0.00141884867046685
"cytoplasmic translation",-1.70715406669393,0.000172564319869296,0.00145388374257226
"regulation of vascular endothelial growth factor receptor signaling pathway",2.03898474950053,0.000182453385322088,0.0015319899506536
"lipid catabolic process",1.6041450922487,0.000191951476162964,0.00160629664343129
"response to mechanical stimulus",1.66325430785129,0.00019403902915739,0.00161829856977392
"response to purine-containing compound",1.76755509991384,0.000205601185479102,0.00170897361218704
